"Search Criteria: "

"Field Name: 71052900, Field No.: 71052900"
"Initial View: Lease"
"Well Type: Both"
"Date Range: May 2012 - May 2012"

"Lease Name","Lease No.","District No.","Well No.","Oil (BBL)","Casinghead (MCF)","GW Gas (MCF)","Condensate (BBL)"
"9014 JV-P PITZER",41392,08," ",379,908,0,0
"APC FEE 1-38 UNIT",42460,08," ",27896,60720,0,0
"APC FEE 1-40",40729,08," ",9931,24626,0,0
"APC FEE 1-50 UNIT",41231,08," ",1790,4616,0,0
"ARMSTRONG 16",45227,08," ",0,0,0,0
"ASHLOCK 1-34",41954,08," ",4034,8539,0,0
"AT LAND STATE 52-6",268277,08," 1H",0,0,0,0
"ATLANTA 73",284029,08," 2H",0,0,10221,951
"ATLANTA 73",42256,08," ",0,0,0,0
"AYERS UNIT ""24""",41978,08," ",2036,1906,0,0
"BARNES, D. E. ESTATE",38700,08," ",2733,1660,0,0
BARSTOW,39273,08," ",381,1801,0,0
"BIG VALLEY 6-20",39164,08," ",322,1290,0,0
"BIGHORN 1-31 WD",41730,08," ",626,118,0,0
"BLACK POWDER 1-27",42881,08," ",0,138,0,0
"BLACK STONE 34-216",42043,08," ",689,3902,0,0
"BLACKTIP 1-21 WRD UNIT",41816,08," ",5110,8865,0,0
"BLACKTIP 1-21 WRD UNIT 1",40663,08," ",3074,5086,0,0
"BLACKTIP 1-42",41088,08," ",2112,3935,0,0
"BLACKTIP 1-43",40406,08," ",2132,4256,0,0
"BLACKTIP 1-44",40625,08," ",3500,8251,0,0
"BLACKTIP 1-48",40991,08," ",1836,4285,0,0
"BLACKTIP JOHNSON 1-39",39856,08," ",2481,6805,0,0
"BLACKTIP UNIVERSITY 19-26",42108,08," ",2677,4105,0,0
"BLUE JACKET ""62""",41822,08," ",460,1154,0,0
"BOB COUCH 3-10",41583,08," ",2082,2943,0,0
"BP 34-211",40619,08," ",8313,18437,0,0
"BRAMBLETT 34-216",41517,08," ",1834,6291,0,0
"BRUNSON ""22""",42146,08," ",2356,337,0,0
"BUCKIN CHUTE 33-61",42563,08," ",5826,11750,0,0
"CALAMITY JANE WEST",39285,08," ",244,780,0,0
"CHATTERFROG 151",41557,08," ",3800,8507,0,0
"CHEVRON 34-157",40151,08," ",1120,1403,0,0
"CHEVRON 34-179",39755,08," ",3244,8215,0,0
"CHEVRON 34-181",39830,08," ",1294,543,0,0
"CHEVY 17",39369,08," ",11,260,0,0
COLLIER,42195,08," ",554,530,0,0
"COLONEL DRAKE 24",41295,08," ",5976,7251,0,0
"COLT 34-212",40262,08," ",12900,28413,0,0
"COLT 4-24",268753,08," 1H",0,0,0,0
"COOPERSMITH 34-139",41817,08," ",3772,4811,0,0
"COPE,R.L.",42695,08," ",219,1222,0,0
"COTTONMOUTH 58-47",273043,08," 1",0,0,0,0
"COTTONWOOD 53-43",268248,08," 1H",0,0,0,0
"COVINGTON 34-224",42442,08," ",6250,14682,0,0
"CROCKETT 1-26 WRD",41052,08," ",16768,28690,0,0
"CROCKETT 1-29 WRD UNIT",41763,08," ",3998,7863,0,0
"CROCKETT 1-35 UNIT",42104,08," ",4916,10154,0,0
"CROCKETT 1-37 WRD",42140,08," ",16761,24221,0,0
"DAVIS '33-20'",39239,08," ",6424,7749,0,0
"DAVIS 33-19",39540,08," ",3816,152,0,0
"DAVIS 34-169 UNIT 1",42084,08," ",4064,6633,0,0
"DAYTONA 14",41914,08," ",2083,5686,0,0
"DELA STATE 58-T2-48",267104,08," 1H",0,0,9080,375
"DRAKESTER 209",283980,08," 2H",0,0,17927,3482
"DRAKESTER 209",284193,08," 1H",0,0,5755,696
"DRAKESTER 209",42086,08," ",0,0,0,0
"DUNAGAN RANCH",41306,08," ",0,0,0,0
"EARNHARDT 3",43189,08," ",110,4392,0,0
"EAST VERMEJO 33-66",41507,08," ",25702,70170,0,0
"EFFIE PONDER EST. 33-18",38719,08," ",1978,1794,0,0
"EMMONS 6-21",40959,08," ",0,0,0,0
"EVELYN BAUER UNIT",43630,08," ",5585,0,0,0
"FIELDER STATE 2-10",41866,08," ",5573,17503,0,0
"FIELDS 33-25",39205,08," ",960,1231,0,0
"FIELDS 33-27",39128,08," ",3945,15448,0,0
