"Search Criteria: "

"Field Name: 71052900, Field No.: 71052900"
"Initial View: Lease"
"Well Type: Both"
"Date Range: May 2013 - May 2013"

"Lease Name","Lease No.","District No.","Well No.","Oil (BBL)","Casinghead (MCF)","GW Gas (MCF)","Condensate (BBL)"
"9014 JV-P PITZER",41392,08," ",187,293,0,0
"ABERNATHY 57-T1-14",270387,08," 1H",0,0,113202,6903
"APC FEE 1-38 UNIT",42460,08," ",8830,20909,0,0
"APC FEE 1-40",40729,08," ",10491,20423,0,0
"APC FEE 1-50 UNIT",41231,08," ",6901,15793,0,0
"APC FEE 6",43431,08," ",3425,6180,0,0
"ARMSTRONG 14",45537,08," ",568,92,0,0
"ARMSTRONG 16",45227,08," ",1296,19252,0,0
"ASHLOCK 1-34",41954,08," ",2110,2885,0,0
"AT LAND STATE 52-6",268277,08," 1H",0,0,0,0
"ATLANTA 73",284029,08," 2H",0,0,6094,558
"ATLANTA 73",42256,08," ",0,0,0,0
"AYERS UNIT ""24""",41978,08," ",3202,4451,0,0
"BAGWELL C27-1",42447,08," ",3565,9231,0,0
"BARBEE 72-1",268076,08," 1H",0,0,0,0
"BARNES, D. E. ESTATE",38700,08," ",2555,2546,0,0
"BARRACUDA 49",283806,08," 1",0,0,18178,1697
"BARRACUDA 49",44118,08," ",0,0,0,0
BARSTOW,39273,08," ",438,1609,0,0
"BARTSOW UNIT 33-35",45119,08," ",0,0,0,0
"BATES 1-63 LOV UNIT",44469,08," ",0,0,0,0
"BECKHAM CALDWELL 5-43",268221,08," 1H",0,0,14069,3481
"BENTON 3-12",44948,08," ",1209,4870,0,0
"BETTYE HANSARD STATE 45-3",272207,08," 2H",0,0,0,0
"BIG SILVER 34-160",43631,08," ",22983,32974,0,0
"BIG VALLEY 6-20",39164,08," ",447,415,0,0
"BIGHORN 1-31 WD",41730,08," ",0,0,0,0
"BLACK POWDER 1-27",42881,08," ",6740,14104,0,0
"BLACK STONE 34-216",42043,08," ",1273,5760,0,0
"BLACKTIP 1-21 WRD UNIT",41816,08," ",2077,2852,0,0
"BLACKTIP 1-21 WRD UNIT 1",40663,08," ",1699,1915,0,0
"BLACKTIP 1-42",41088,08," ",1303,1506,0,0
"BLACKTIP 1-43",40406,08," ",1475,2226,0,0
"BLACKTIP 1-44",40625,08," ",2101,5293,0,0
"BLACKTIP 1-48",40991,08," ",1438,2713,0,0
"BLACKTIP JOHNSON 1-39",39856,08," ",9545,33503,0,0
"BLACKTIP UNIVERSITY 19-26",42108,08," ",1141,1304,0,0
"BLUE JACKET ""62""",41822,08," ",122,679,0,0
"BLUE JACKET '73'",44763,08," ",1101,708,0,0
"BOB COUCH 3-10",41583,08," ",1271,144,0,0
"BOBCAT 34-175",43852,08," ",13407,24428,0,0
"BOLD BLAKE STATE 57-T2-2",271805,08," 1H",0,0,0,0
"BOLD JOHNSON 56-T1-26",270251,08," 1H",0,0,79098,6971
"BOLD JOHNSON 56-T1-30",270567,08," 1H",0,0,34266,2939
"BOLD JOHNSON 56-T1-34",271718,08," 1H",0,0,1486,0
"BOLD JOHNSON 56-T1-36",271703,08," 1H",0,0,68915,4368
"BOLD JOHNSON 56-T1-42",271675,08," 1H",0,0,18414,5030
"BOUCHER 2",45470,08," ",952,9602,0,0
"BP 34-211",40619,08," ",1344,2377,0,0
"BRAMBLETT 1-28 WRD",43462,08," ",28436,62682,0,0
"BRAMBLETT 34-216",41517,08," ",0,0,0,0
BRINE,45438,08," ",0,0,0,0
"BRUNSON ""22""",42146,08," ",1315,830,0,0
"BUCKIN CHUTE 33-61",42563,08," ",6824,13366,0,0
"BYRD 34-170 UNIT",42475,08," ",32028,50316,0,0
"C.G. LUDEMAN 'B'",45241,08," ",2760,10713,0,0
"CALAMITY JANE WEST",39285,08," ",187,525,0,0
"CHATTERFROG 151",41557,08," ",1844,3660,0,0
"CHEVRON 34-157",40151,08," ",86,66,0,0
"CHEVRON 34-179",39755,08," ",1933,4212,0,0
"CHEVRON 34-181",39830,08," ",0,0,0,0
"CHEVY 17",39369,08," ",420,1301,0,0
COLLIER,42195,08," ",268,364,0,0
"COLONEL DRAKE 24",41295,08," ",1167,4621,0,0
"COLT 34-212",40262,08," ",11001,30988,0,0
"COLT 4-24",268753,08," 1H",0,0,19657,2075
"COLUMBINE 34-167",43775,08," ",20391,56510,0,0
"COOPERSMITH 34-139",41817,08," ",2165,1815,0,0
"COPE,R.L.",42695,08," ",201,1212,0,0
"COTTONMOUTH 58-47",273043,08," 1",0,0,0,40
"COTTONWOOD 53-43",268248,08," 1H",0,0,0,0
"COVINGTON 34-224",42442,08," ",12168,35030,0,0
"CROCKETT 1-26 WRD",41052,08," ",20147,26418,0,0
"CROCKETT 1-27 WRD UNIT",44188,08," ",25560,60389,0,0
"CROCKETT 1-29 WRD UNIT",41763,08," ",2952,4881,0,0
"CROCKETT 1-35 UNIT",42104,08," ",11385,21242,0,0
"CROCKETT 1-35 UNIT 2",42474,08," ",19003,27146,0,0
"CROCKETT 1-37 WRD",42140,08," ",10182,16462,0,0
"DAVIS '33-20'",39239,08," ",4001,1164,0,0
"DAVIS 33-19",39540,08," ",2774,1539,0,0
"DAVIS 34-169 B UNIT",42521,08," ",422,1746,0,0
"DAVIS 34-169 UNIT 1",42084,08," ",2176,3412,0,0
"DAYTONA 14",41914,08," ",780,5343,0,0
