"Search Criteria: "

"Field Name: 71052900, Field No.: 71052900"
"Initial View: Lease"
"Well Type: Both"
"Date Range: Jan 2013 - Jan 2013"

"Lease Name","Lease No.","District No.","Well No.","Oil (BBL)","Casinghead (MCF)","GW Gas (MCF)","Condensate (BBL)"
"9014 JV-P PITZER",41392,08," ",200,316,0,0
"ABERNATHY 57-T1-14",270387,08," 1H",0,0,0,0
"APC FEE 1-38 UNIT",42460,08," ",11310,20602,0,0
"APC FEE 1-40",40729,08," ",14995,25146,0,0
"APC FEE 1-50 UNIT",41231,08," ",1334,1583,0,0
"APC FEE 6",43431,08," ",5816,7601,0,0
"ARMSTRONG 14",45537,08," ",418,2972,0,0
"ARMSTRONG 16",45227,08," ",1408,13296,0,0
"ASHLOCK 1-34",41954,08," ",2214,3819,0,0
"AT LAND STATE 52-6",268277,08," 1H",0,0,0,0
"ATLANTA 73",284029,08," 2H",0,0,6652,321
"ATLANTA 73",42256,08," ",0,0,0,0
"AYERS UNIT ""24""",41978,08," ",3233,3261,0,0
"BAGWELL C27-1",42447,08," ",5006,10039,0,0
"BARBEE 72-1",268076,08," 1H",0,0,3441,0
"BARNES, D. E. ESTATE",38700,08," ",692,660,0,0
BARSTOW,39273,08," ",189,1134,0,0
"BARTSOW UNIT 33-35",45119,08," ",9273,15523,0,0
"BECKHAM CALDWELL 5-43",268221,08," 1H",0,0,0,0
"BIG SILVER 34-160",43631,08," ",5173,7259,0,0
"BIG VALLEY 6-20",39164,08," ",320,115,0,0
"BIGHORN 1-31 WD",41730,08," ",25,1,0,0
"BLACK POWDER 1-27",42881,08," ",8246,17136,0,0
"BLACK STONE 34-216",42043,08," ",1019,3871,0,0
"BLACKTIP 1-21 WRD UNIT",41816,08," ",2580,2647,0,0
"BLACKTIP 1-21 WRD UNIT 1",40663,08," ",2551,4935,0,0
"BLACKTIP 1-42",41088,08," ",1219,1618,0,0
"BLACKTIP 1-43",40406,08," ",2010,3404,0,0
"BLACKTIP 1-44",40625,08," ",205,586,0,0
"BLACKTIP 1-48",40991,08," ",1519,2432,0,0
"BLACKTIP JOHNSON 1-39",39856,08," ",23445,35411,0,0
"BLACKTIP UNIVERSITY 19-26",42108,08," ",1361,1358,0,0
"BLUE JACKET ""62""",41822,08," ",192,842,0,0
"BLUE JACKET '73'",44763,08," ",1628,2077,0,0
"BOB COUCH 3-10",41583,08," ",1003,210,0,0
"BOBCAT 34-175",43852,08," ",13616,32112,0,0
"BOLD JOHNSON 56-T1-26",270251,08," 1H",0,0,0,0
"BOUCHER 2",45470,08," ",582,769,0,0
"BP 34-211",40619,08," ",4282,8459,0,0
"BRAMBLETT 1-28 WRD",43462,08," ",9864,21370,0,0
"BRAMBLETT 34-216",41517,08," ",880,6933,0,0
"BRUNSON ""22""",42146,08," ",1475,1174,0,0
"BUCKIN CHUTE 33-61",42563,08," ",10017,21791,0,0
"BYRD 34-170 UNIT",42475,08," ",6908,10755,0,0
"CALAMITY JANE WEST",39285,08," ",211,552,0,0
"CHATTERFROG 151",41557,08," ",1999,2610,0,0
"CHEVRON 34-157",40151,08," ",1979,2394,0,0
"CHEVRON 34-179",39755,08," ",940,2176,0,0
"CHEVRON 34-181",39830,08," ",1431,2110,0,0
"CHEVY 17",39369,08," ",484,1394,0,0
COLLIER,42195,08," ",346,406,0,0
"COLONEL DRAKE 24",41295,08," ",1206,5942,0,0
"COLT 34-212",40262,08," ",11056,24468,0,0
"COLT 4-24",268753,08," 1H",0,0,4358,1450
"COLUMBINE 34-167",43775,08," ",10310,12077,0,0
"COOPERSMITH 34-139",41817,08," ",2643,2957,0,0
"COPE,R.L.",42695,08," ",69,171,0,0
"COTTONMOUTH 58-47",273043,08," 1",0,0,0,0
"COTTONWOOD 53-43",268248,08," 1H",0,0,0,0
"COVINGTON 34-224",42442,08," ",35224,70333,0,0
"CROCKETT 1-26 WRD",41052,08," ",20831,39131,0,0
"CROCKETT 1-27 WRD UNIT",44188,08," ",0,0,0,0
"CROCKETT 1-29 WRD UNIT",41763,08," ",2837,4693,0,0
"CROCKETT 1-35 UNIT",42104,08," ",1747,2184,0,0
"CROCKETT 1-35 UNIT 2",42474,08," ",8397,12001,0,0
