"Search Criteria: "

"Field Name: 71052900, Field No.: 71052900"
"Initial View: Lease"
"Well Type: Both"
"Date Range: Jul 2015 - Jul 2015"

"Lease Name","Lease No.","District No.","Well No.","Oil (BBL)","Casinghead (MCF)","GW Gas (MCF)","Condensate (BBL)"
"9014 JV-P PITZER",41392,08," ",59,77,0,0
"ABERNATHY 57-T1-14",270387,08," 1H",0,0,29800,1321
"ABERNATHY 57-T1-14",45618,08," ",3924,9405,0,0
"ALEXANDER 58-T2-12",277813,08," 1H",0,0,54845,11505
ALLEN,47211,08," ",6754,19869,0,0
"ALLEN 55-2-44 LOV UNIT",46733,08," ",0,0,0,0
"ANACONDA STATE 55-2",282985,08," 5H",0,0,38791,5720
"ANACONDA STATE 55-2",283093,08," 7H",0,0,24806,4026
"ANACONDA STATE 55-2",283095,08," 2H",0,0,12673,2864
"ANACONDA STATE 55-2",283136,08," 3H",0,0,36216,5303
"ANACONDA STATE 55-2",283138,08," 1H",0,0,23296,3810
"ANACONDA STATE 55-2",45010,08," ",5717,20787,0,0
"APACHE STATE 55",44793,08," ",0,0,0,0
"APC 28-5",46719,08," ",0,0,0,0
"APC FEE 1-38 UNIT",42460,08," ",5139,9456,0,0
"APC FEE 1-40",40729,08," ",11333,19496,0,0
"APC FEE 1-50 UNIT",41231,08," ",18896,42497,0,0
"APC FEE 6",43431,08," ",84,555,0,0
"APC FEE 6",47511,08," ",0,0,0,0
"ARMSTRONG 14",45537,08," ",203,0,0,0
"ARMSTRONG 16",45227,08," ",543,4262,0,0
"ARMSTRONG STATE 42",48803,08," ",0,0,0,0
"ARNO 78-TTT-B33 WF",46141,08," ",6411,83868,0,0
"ASHLOCK 1-34",41954,08," ",32592,56860,0,0
"ASTRO STATE 12",48295,08," ",0,0,0,0
"AT LAND STATE 52-6",268277,08," 1H",0,0,0,0
"ATLANTA 73",284029,08," 2H",0,0,3543,343
"ATLANTA 73",42256,08," ",0,0,0,0
"ATLANTIS 59-10",46352,08," ",0,0,0,0
"AUTOBAHN 34-117",44771,08," ",17722,21243,0,0
"AVANT 29-40",45969,08," ",3111,5125,0,0
"AYERS UNIT ""24""",41978,08," ",1935,2934,0,0
"BAGWELL C27-1",42447,08," ",2024,5291,0,0
BAILEY,46379,08," ",16084,19796,0,0
"BALMORHEA RANCH 49",46601,08," ",3277,6462,0,0
"BALMORHEA STATE",46324,08," ",2995,8750,0,0
"BANNER 57-1-21",279043,08," 2H",0,0,0,0
"BANNER 57-1-21",279225,08," 1H",0,0,0,0
"BARBEE 72-1",268076,08," 1H",0,0,17075,294
"BARNES, D. E. ESTATE",38700,08," ",1094,2312,0,0
"BARNETT 90-TTT-B01 WF",46909,08," ",16334,60105,0,0
"BARRACUDA 49",283806,08," 1",0,0,1887,300
"BARRACUDA 49",44118,08," ",0,0,0,0
"BARRIERS 34-122 UNIT",45898,08," ",14250,16317,0,0
BARSTOW,39273,08," ",0,0,0,0
"BARSTOW 33-34",47050,08," ",0,0,0,0
"BARTSOW UNIT 33-35",45119,08," ",0,0,0,0
"BATES 1-63 LOV UNIT",44469,08," ",4927,13527,0,0
"BATES 1-77 LOV UNIT",44788,08," ",6417,19428,0,0
"BAYER '13'",46894,08," ",1588,2282,0,0
"BEAVERHEAD STATE 2-24 UNIT",45549,08," ",3871,13500,0,0
"BECKHAM CALDWELL 5-43",268221,08," 1H",0,0,1837,970
"BENTON 3-12",44948,08," ",2020,4592,0,0
BENTZ,48403,08," ",0,0,0,0
"BERKLEY STATE EAST UNIT",46946,08," ",904,622,0,0
"BETTS 54-4-26 RVS",44643,08," ",1624,4973,0,0
"BETTYE HANSARD STATE 45-3",272207,08," 2H",0,0,4967,76
"BIG HORN STATE 56-2-9 UNIT",279044,08," 1H",0,0,0,0
"BIG HORN STATE 56-2-9 UNIT",279159,08," 3H",0,0,0,0
"BIG HORN STATE 56-2-9 UNIT",279162,08," 2H",0,0,0,0
"BIG PINEY 57-2-41",277111,08," 1H",0,0,35783,7777
"BIG SILVER 34-160",43631,08," ",11965,29649,0,0
"BIG TIMBER STATE 57-25 UNIT",283094,08," 1H",0,0,139956,25153
"BIG TIMBER STATE 57-25 UNIT",46782,08," ",0,0,0,0
"BIG VALLEY 6-20",39164,08," ",573,717,0,0
"BIGHORN 1-31 WD",41730,08," ",0,0,0,0
"BIGHORN NORTH UNIT 1-31",283073,08," 1H",0,0,178367,21320
"BIGHORN NORTH UNIT 1-31",46564,08," ",0,0,0,0
"BILLY BURT 90-TTT-B33 WF",47373,08," ",32726,73995,0,0
"BLACK POWDER 1-27",42881,08," ",1414,2240,0,0
"BLACK STONE 34-216",42043,08," ",450,2146,0,0
"BLACKTIP 1-21 WRD UNIT",41816,08," ",2303,3908,0,0
"BLACKTIP 1-21 WRD UNIT 1",40663,08," ",4877,7263,0,0
"BLACKTIP 1-42",41088,08," ",1146,1801,0,0
"BLACKTIP 1-42 UNIT",46876,08," ",0,0,0,0
"BLACKTIP 1-43",40406,08," ",1454,2072,0,0
"BLACKTIP 1-44",40625,08," ",9643,25101,0,0
"BLACKTIP 1-48",40991,08," ",958,1404,0,0
"BLACKTIP JOHNSON 1-39",39856,08," ",7196,12436,0,0
"BLACKTIP STATE 42",44861,08," ",4971,9674,0,0
"BLACKTIP STATE 43",46804,08," ",51055,89349,0,0
"BLACKTIP UNIVERSITY 19-26",42108,08," ",4933,6971,0,0
"BLUE CREST",46676,08," ",25638,33656,0,0
"BLUE DUCK 35",46087,08," ",4378,9546,0,0
"BLUE JACKET ""62""",41822,08," ",94,0,0,0
"BLUE JACKET '73'",44763,08," ",1261,2342,0,0
"BOB COUCH 3-10",41583,08," ",303,847,0,0
"BOBCAT 34-175",43852,08," ",4562,14976,0,0
"BOBCAT STATE UNIT 4702",47651,08," ",0,0,0,0
"BODACIOUS C7-19",45253,08," ",2490,8310,0,0
"BOHLANDER 33-95",279553,08," 1H",0,0,83001,14990
